LAU_NAME,total_population,popul_bg,popul_turkish,popul_roma,popul_other,percentage_bg,percentage_turkish,percentage_roma,percentage_other,total_minorities,percentage_minorities,total_crime,crime_per_1000,pop_0_4,pop_5_9,pop_10_14,pop_15_19,pop_children_total,total_schools,schools_1000_children,total_teachers,teachers_1000_children,total_kindergartens,kindergartens_1000,children_kindergarten,children_kg_rate,pop_0_6,pop_7_10,pop_11_13,pop_14_19,pop_school_age,total_students,total_school_enrolment,1_4_grade,1_4_grade_enrolment,5_7_grade,5_7_grade_enrolment,8_12_grade,8_12_grade_enrolment,pop_15,pop_19,12_grade_graduates,12_grade_graduates_rate,8_grade_graduates,8_grade_graduate_rate,hospitals,hospitals_1000,hospital_beds,hospital_beds_1000,employment_rate,unemployment_rate,tertiary_educ_rate,secondary_educ_rate,middle_educ_rate,primary_educ_rate,illiteracy_rate,NUTS_NAME,average_salary,deprivation_rate,avg_household_size,pop_over_65,number_doctors,doctors_1000,rate_city_pop,rate_village_pop,rate_lang_roma,rate_lang_non_bg
Николаево,4194,2840,771,252,7,67.71578445,18.38340486,6.008583691,0.1669051025,1030,24.55889366,17,4.005722461,358,362,366,327,1413,5,5.422993492,54,58.56832972,1,2.036659878,182,37.06720978,491,293,229,400,922,634,68.76355748,245,83.61774744,193,84.27947598,196,49,65,48,6,12.5,44,91.66666667,0,0,0,0,53.9,43.5,5.671077505,36.48393195,20.90197137,36.94301917,8.584294962,Стара Загора,18224,22.8,2.8,769,5,1.271657924,60.85011186,39.14988814,4.840247973,41.82164998
Опан,2418,2134,9,84,25,88.254756,0.3722084367,3.473945409,1.033912324,118,4.88006617,10,4.052936311,58,71,91,89,309,1,4.424778761,19,84.07079646,1,12.04819277,21,25.30120482,83,62,51,113,226,215,95.13274336,51,82.25806452,48,94.11764706,116,102.6548673,22,10,0,0,12,120,0,0,0,0,66.6,24.6,5.56745182,47.88008565,34.98929336,11.56316916,1.170351105,Стара Загора,18224,22.8,1.9,1050,2,0.6892748828,0,100,3.515301902,4.425144748
Павел баня,12594,6042,4075,1449,95,47.9752263,32.35667778,11.5054788,0.7543274575,5619,44.61648404,43,3.430204859,655,666,749,678,2748,10,5.446623094,132,71.89542484,10,10.41666667,415,45.50438596,912,561,459,816,1836,1266,68.95424837,461,82.17468806,419,91.28540305,386,47.30392157,152,119,25,21.00840336,115,96.63865546,1,0.07940289027,224,17.78624742,61.7,16.8,9.450436569,44.21331964,26.45095018,19.88529361,4.268346016,Стара Загора,18224,22.8,2.5,3148,21,1.640993065,18.98279159,81.01720841,11.63252342,45.10878196
Раднево,16585,14605,211,594,60,88.06150136,1.272233946,3.581549593,0.3617726862,865,5.215556226,85,5.113053964,693,702,782,672,2849,6,3.201707577,150,80.04268943,6,6.153846154,574,58.87179487,975,573,482,819,1874,1516,80.89647812,602,105.061082,517,107.2614108,397,48.47374847,122,112,79,70.53571429,154,137.5,1,0.07235453723,417,25.11908351,69.3,13.5,13.3632287,56.14990391,19.8462524,10.64061499,1.501207493,Стара Загора,18224,22.8,2.2,4151,38,2.27112853,62.7232013,37.2767987,3.382574616,5.191438046
Стара Загора,144213,123536,1211,5951,794,85.66218025,0.8397301214,4.126535056,0.5505744974,7956,5.516839675,626,4.342188291,6393,6844,7214,6062,26513,44,2.532665631,1528,87.95257008,30,3.227571116,4960,54.26695842,9140,5540,4415,7418,17373,17064,98.221378,5517,99.58483755,4554,103.1483579,6993,94.27069291,1291,1139,1168,102.5460931,1363,119.666374,7,0.04853931338,1290,8.943715199,72.5,7.1,28.84070095,49.10751964,11.94539249,10.10638692,1.471121589,Стара Загора,18224,22.8,2.2,32915,917,6.356338656,82.46346693,17.53653307,3.699389098,5.203414394
Чирпан,18137,13673,1049,1844,59,75.38732977,5.783756961,10.16706181,0.3253018691,2952,16.27612064,106,5.83337928,881,953,1029,861,3724,8,3.2546786,207,84.21480879,4,3.159557662,613,48.42022117,1266,769,628,1061,2458,2120,86.24898291,758,98.56957087,630,100.3184713,732,68.99151744,164,148,84,56.75675676,201,135.8108108,1,0.05513591002,113,6.230357832,63.8,15.4,13.7632624,45.30259024,24.63991465,16.29423271,4.33492765,Стара Загора,18224,22.8,2.4,4971,74,4.080057341,71.00588578,28.99411422,10.59160831,17.16932238
Болярово,3118,2604,12,251,94,83.51507377,0.3848620911,8.050032072,3.014753047,357,11.44964721,127,40.66709429,136,123,134,123,516,2,6.042296073,26,78.54984894,1,5.405405405,69,37.2972973,185,98,76,157,331,251,75.83081571,98,100,82,107.8947368,71,45.22292994,28,21,6,28.57142857,28,133.3333333,0,0,0,0,61.1,25.3,9.239686328,41.45925673,31.02625298,18.27480395,5.171815342,Ямбол,15665,27.8,2.1,1037,2,0.6414368185,30.94614265,69.05385735,7.152020526,11.1289288
Елхово,13272,11269,35,1061,203,84.90807715,0.2637130802,7.994273659,1.529535865,1299,9.787522604,242,18.21880651,519,562,609,587,2277,7,4.563233377,141,91.91655802,2,2.69179004,359,48.31763122,743,455,373,706,1534,1455,94.85006519,437,96.04395604,380,101.8766756,638,90.36827195,116,102,77,75.49019608,114,111.7647059,1,0.07534659433,55,4.144062688,67,18.1,13.84787293,50.47489824,23.48152287,12.19570596,1.323159347,Ямбол,15665,27.8,2.2,3645,32,2.43620655,66.12712491,33.87287509,7.512055455,9.538878843
Стралджа,10370,7201,148,1641,56,69.44069431,1.427193828,15.82449373,0.5400192864,1845,17.79170685,50,4.802314368,608,684,740,616,2648,4,2.240896359,95,53.22128852,2,2.317497103,406,47.04519119,863,557,472,756,1785,1050,58.82352941,467,83.84201077,420,88.98305085,163,21.56084656,126,88,0,0,95,107.9545455,0,0,0,0,56.4,19.2,8.109813821,38.75039445,29.32575997,23.81403177,6.749131944,Ямбол,15665,27.8,2.5,2725,3,0.2892960463,47.63039449,52.36960551,15.47733848,17.54098361
Тунджа,21167,18025,61,1675,222,85.15613927,0.288184438,7.913261208,1.048802381,1958,9.250248028,74,3.486559267,896,965,962,896,3719,10,4.098360656,124,50.81967213,5,3.909304144,538,42.06411259,1279,765,594,1081,2440,986,40.40983607,448,58.5620915,419,70.53872054,119,11.00832562,199,150,5,3.333333333,151,100.6666667,0,0,0,0,60.5,15,9.538415125,47.69207562,27.86102172,14.90848753,3.559339419,Ямбол,15665,27.8,2.3,7204,3,0.1417300515,0,100,9.335286058,10.95100865
